date,EW_NoRD,EW_RD,VW_NoRD,VW_RD
2010-04-30,0.08042610921788278,0.0683104562962963,0.028115220559703745,0.020858752377171972
2010-05-28,-0.0790018781614348,-0.07949303343239228,-0.06515435339038257,-0.08224250779247252
2010-06-30,-0.07851212552891397,-0.06892912798601339,-0.06000547680060005,-0.053362666090431436
2010-07-30,0.0668091700680272,0.06726276630036629,0.07203574808143345,0.07881597850539437
2010-08-31,-0.07005575200491382,-0.06458917759764186,-0.03518928098171227,-0.05078309360998877
2010-09-30,0.11541293466299862,0.12922108444444444,0.09813298875020504,0.1053875805835271
2010-10-29,0.04188710158949551,0.05718687686567164,0.03570590171512335,0.05128875210888041
2010-11-30,0.03992496371249128,0.019831517319277108,0.025716302827882603,0.0004486900450720358
2010-12-31,0.08401627962880029,0.08414665849299695,0.05985297017376207,0.06557984137340114
2011-01-31,0.012568145995747697,0.026570707407723375,0.01158372338517917,0.03202874503030615
2011-02-28,0.054325917302156586,0.045595806395750005,0.039012440116217906,0.031031662988916218
2011-03-31,0.01836963426933238,0.022984320403413496,0.011644567379172108,0.004681962276628164
2011-04-29,0.014639371924746743,0.015241639062500001,0.02982582542325464,0.034412383928853256
2011-05-31,-0.021671185828016012,-0.018204290322580644,-0.008256711412602693,-0.011631243653107465
2011-06-30,-0.02166495375045956,-0.02566428241845664,-0.014598032265376096,-0.01841900427033507
2011-07-29,-0.013914386089425124,-0.039596168174962296,-0.016324664203640288,-0.021548743321476826
2011-08-31,-0.09405092324093818,-0.0957337803030303,-0.05367882977400816,-0.06065980931978676
2011-09-30,-0.11653944345126878,-0.11087536882129277,-0.09134955732445835,-0.06615331043394705
2011-10-31,0.13639597732968778,0.12715389389312975,0.13668298152595962,0.11624333290418237
2011-11-30,-0.00833175163886357,-0.025698151806302843,0.007806826626013707,-0.006233068184863695
2011-12-30,0.011497055514974434,-0.01419966610819147,0.004002743008058048,0.00026172626594836044
2012-01-31,0.07345416249165025,0.11054275507020281,0.04304960026355134,0.06672918843862348
2012-02-29,0.04020772159535008,0.03499248782403771,0.03837793279024465,0.04502881669979096
2012-03-30,0.018777327105951817,0.02368289240506329,0.0086793904254676,0.025401714588640684
2012-04-30,-0.012662526636265473,-0.01648785612082671,-0.0016791653359351105,-0.010603046358465922
2012-05-31,-0.07925583251468164,-0.07829125822151237,-0.05875383396842049,-0.06854471902365133
2012-06-29,0.038926725697046,0.0345489428705344,0.03816668828838102,0.03415065938563513
2012-07-31,-0.009380242308751091,-0.015334997074966284,0.013841637286808888,0.008954792131612946
2012-08-31,0.027443603953147877,0.031353236068111454,0.01566383240279574,0.03282345192381969
2012-09-28,0.04208751799097938,0.03373723404813686,0.027662686366450168,0.02086051249818749
2012-10-31,-0.012659774145616642,-0.03449667871762549,-0.005915033128579999,-0.03643731002323486
